today,latitude,longitude,ip,type,tpm,tpm_type,informants
7/15/15,4.736088,45.203293,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,n/a,n/a,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,2.33667,42.285439,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,5.308193,45.880291,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,2.619506,44.893796,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,4.733553,45.200935,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,4.735473,45.204128,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,6.242518,46.310486,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,4.735061,45.206211,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,4.734805,45.203465,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,2.619388,44.893667,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,3.79966,42.543961,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,5.044936,46.843689,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,4.735302,45.204042,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,2.142282,45.113136,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,3.799447,42.544407,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,3.800087,42.547614,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,3.799552,42.546364,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,4.735345,45.203613,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,5.024417,46.843689,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,2.787447,41.016266,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/15/15,3.800785,42.545288,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,3.798204,42.546021,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.648338,44.929321,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.142411,45.113265,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.619291,44.893882,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.770724,41.007202,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.145812,45.117977,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.787836,40.998842,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.781698,41.009949,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,3.798547,42.544991,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.885072,41.969238,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.619591,44.894526,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,4.204489,45.497864,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,4.735815,45.204815,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,4.209716,45.487885,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.778954,41.031921,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,4.711934,45.221191,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,4.735232,45.206211,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,4.735238,45.202755,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.146053,45.120529,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,3.800068,42.544945,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,2.88818,41.985718,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,4.735366,45.205587,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/16/15,3.799776,42.544825,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/20/15,3.799757,42.54546,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/20/15,3.800108,42.547528,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/20/15,2.786681,40.99926,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/20/15,3.799916,42.544481,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
